,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mahebourg,-35.809229361026574,71.77933001918899,73.26,74,16,9.53,MU,1654628470
1,east london,-56.50288952419533,47.43932665300679,64.38,60,18,6.13,ZA,1654628544
2,erenhot,43.676734383501696,111.15875024284918,60.42,32,7,8.46,CN,1654628544
3,lira,2.7361623118958818,33.086280364152856,65.39,93,100,4.59,UG,1654628544
4,illoqqortoormiut,70.1336803814165,-21.67335085809208,46.47,95,5,3.27,NZ,1654628544
5,mataura,-52.10391992767215,-158.87558747972594,83.28,66,100,3.89,MV,1654628545
6,utiroa,-2.8130464717531822,173.54364813076427,46.11,61,97,11.79,CL,1654628545
7,hithadhoo,-19.54978896107299,80.74395061191376,47.08,90,40,14.97,AU,1654628545
8,punta arenas,-58.11595079958853,-107.45713187108666,36.07,78,0,4.85,AU,1654628546
9,leopold,-39.634813206011884,144.50267828785655,80.46,75,14,7.81,BJ,1654628433
10,taree,-31.95834078434565,151.72039817998046,81.82,25,100,12.21,IR,1654628546
11,porto novo,16.271547516803352,-27.908372386776705,78.93,17,75,4.61,US,1654628546
12,sabzevar,35.380977861086706,56.259087651683416,67.41,62,100,7.7,PT,1654628546
13,fallon,39.47731292059288,-117.43838244487739,78.89,56,100,5.99,US,1654628547
14,lata,-6.95454972219116,167.91410910009233,35.19,79,20,3.4,RU,1654628547
15,albany,-75.44204299738684,111.69690868461026,42.3,85,78,1.99,AU,1654628548
16,pevek,77.95628619448064,164.89974010501282,78.1,69,27,14.85,PF,1654628424
17,palabuhanratu,-13.895030560524987,100.70094557440359,76.82,60,10,8.7,NU,1654628548
18,meyungs,-57.63962941624205,106.51828468722618,58.1,92,100,11.05,JP,1654628548
19,new norfolk,12.400473231908663,133.07038976792808,56.95,53,100,19.39,AU,1654628549
20,atuona,-57.414845672888525,139.98633866617865,39.02,92,100,1.57,CA,1654628549
21,alofi,68.7656126789318,-20.729532741905103,50.99,87,75,21.85,IS,1654628549
22,shimoda,5.138381627575015,-133.93217643658846,74.44,74,100,14.32,NC,1654628549
23,busselton,-24.557560442212505,-166.5609345370467,93.29,39,5,20.45,US,1654628550
24,pangnirtung,30.179702812762358,140.62741783459717,37.96,91,34,8.48,RU,1654628550
25,vestmannaeyjar,-65.43868994475264,84.70965893254674,81.43,50,100,11.61,US,1654628550
26,vao,62.57106373039986,-60.34857077554625,42.49,68,41,2.71,CA,1654628551
27,san patricio,57.90906471717693,-21.762063909898643,73.78,77,100,0.45,CN,1654628487
28,tiksi,-23.96961470173285,167.90223796118755,60.69,58,8,1.57,RU,1654628551
29,rumford,17.586008914173604,-107.48500257333275,47.01,66,40,5.75,CL,1654628288
30,taolanaro,-51.87335023192798,44.73632770452346,42.66,84,75,10.36,AU,1654628403
31,clyde river,89.58548936658127,131.32224881147425,46.8,83,8,12.26,NZ,1654628551
32,zigong,44.738405477509644,-70.8475315637916,44.76,67,95,1.74,GL,1654628552
33,nikolskoye,-39.57102031954219,53.275743630346795,66.4,43,0,5.59,ZA,1654628552
34,nizhneyansk,70.30239825436755,-72.22285497050443,69.57,35,100,8.99,CA,1654628552
35,coihaique,29.12370681904278,104.72439014588332,80.98,76,100,10.2,PG,1654628553
36,hobart,50.11930152643342,170.27551515789776,82.26,63,89,17.78,IN,1654628553
37,bluff,81.1089867321042,137.67302780189345,53.51,84,99,3.67,CN,1654628423
38,tasiilaq,-47.99225673376055,-78.14186954407475,71.2,80,95,11.01,PT,1654628553
39,hermanus,-87.83965006265191,148.66742198147807,73.18,100,100,4.38,PG,1654628553
40,yellowknife,-59.66039612172278,45.03954063885138,61.09,72,0,11.18,KZ,1654628259
41,kavieng,-71.59259921599991,165.2372725359587,74.71,67,6,15.21,TO,1654628554
42,guntakal,69.67384541755575,-40.70668535804157,63.66,63,99,5.97,FI,1654628554
43,chifeng,-65.12897485676744,7.699145232883154,81.12,77,4,5.99,US,1654628554
44,vila franca do campo,84.44351717417251,-111.36846501300452,49.6,79,99,2.59,RU,1654628555
45,kiunga,-1.0677240375526935,149.24180611704116,85.33,75,4,13.89,IN,1654628555
46,qostanay,15.054058396877139,77.486242048713,73.98,88,100,4.09,CG,1654628555
47,vaini,-65.39280070172059,123.8656832714513,47.12,83,94,6.67,IS,1654628555
48,kotka,45.46404057851521,117.70774898329597,78.85,69,0,20,US,1654628497
49,kapaa,32.475515762043116,-23.273650224912416,46.18,87,100,3.87,RU,1654628556
50,bagdarin,-4.518600742775931,140.32890089022197,51.31,87,100,10.36,US,1654628556
51,mys shmidta,53.387721934749436,63.34386278149594,59.22,59,25,8.66,GL,1654628556
